Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0	0	0	28.517694	0	0	0	""	0	"Method Settings"	7.001887	"2"	0	-0.25948
0.00058	16.815483	0.001161	28.551104	0.005804	0					7.251599	"3"	0.00058	-0.259235
0.001161	16.815268	0.002321	28.548321	0.011607	0					7.501954	"4"	0.001161	-0.25899
0.001741	16.815769	0.003482	28.545805	0.017411	0					7.752151	"5"	0.001741	-0.258745
0.002321	16.816307	0.004643	28.54323	0.023215	0					8.002015	"6"	0.002321	-0.2585
0.002902	16.816914	0.005804	28.540894	0.029019	0					8.252341	"7"	0.002902	-0.258256
0.003482	16.817709	0.006964	28.538698	0.034822	0					8.501885	"8"	0.003482	-0.258011
0.004062	16.818264	0.008125	28.536705	0.040626	0					8.752298	"9"	0.004062	-0.257766
0.004643	16.818687	0.009286	28.534863	0.04643	0					9.002577	"10"	0.004643	-0.257521
0.005223	16.819202	0.010446	28.533308	0.052234	0					9.252686	"11"	0.005223	-0.257276
0.005803	16.819471	0.011607	28.531954	0.058037	0					9.502556	"12"	0.005803	-0.257031
0.006384	16.819496	0.012768	28.530743	0.063841	0					9.752861	"13"	0.006384	-0.256782
0.006964	16.819828	0.013929	28.529539	0.069645	0					10.002938	"14"	0.006964	-0.256534
0.007544	16.820446	0.015089	28.528505	0.075448	0					10.25287	"15"	0.007544	-0.256285
0.008125	16.821693	0.01625	28.527634	0.081252	0					10.503125	"16"	0.008125	-0.256037
0.008705	16.822863	0.017411	28.526926	0.087056	0					10.753232	"17"	0.008705	-0.255788
0.009285	16.82362	0.018571	28.526279	0.09286	0					11.003178	"18"	0.009285	-0.25554
0.009866	16.824722	0.019732	28.525801	0.098663	0					11.252848	"19"	0.009866	-0.255291
0.010446	16.825811	0.020893	28.525492	0.104467	0					11.502975	"20"	0.010446	-0.255043
0.011027	16.826925	0.022054	28.525034	0.110271	0					11.753531	"21"	0.011027	-0.254794
0.011607	16.828375	0.023214	28.524611	0.116075	0					12.003393	"22"	0.011607	-0.254546
0.012187	16.829567	0.024375	28.524281	0.121878	0					12.25336	"23"	0.012187	-0.254287
0.012768	16.830084	0.025536	28.524014	0.127682	0					12.503352	"24"	0.012768	-0.254029
0.013348	16.830433	0.026696	28.523775	0.133486	0					12.753762	"25"	0.013348	-0.253771
0.013928	16.831268	0.027857	28.523518	0.13929	0					13.003787	"26"	0.013928	-0.253513
0.014509	16.832136	0.029018	28.523237	0.145093	0					13.253791	"27"	0.014509	-0.253255
0.015089	16.832758	0.030179	28.523054	0.150897	0					13.504104	"28"	0.015089	-0.252997
0.015669	16.833479	0.031339	28.522879	0.156701	0					13.754207	"29"	0.015669	-0.252738
0.01625	16.834333	0.0325	28.522711	0.162504	0					14.004179	"30"	0.01625	-0.25248
0.01683	16.834713	0.033661	28.522552	0.168308	0					14.254382	"31"	0.01683	-0.252222
0.01741	16.835266	0.034821	28.522436	0.174112	0					14.504543	"32"	0.01741	-0.251964
0.017991	16.836172	0.035982	28.522369	0.179916	0					14.754505	"33"	0.017991	-0.251723
0.018571	16.836988	0.037143	28.522388	0.185719	0					15.004723	"34"	0.018571	-0.251482
0.019151	16.837481	0.038304	28.522346	0.191523	0					15.254341	"35"	0.019151	-0.25124
0.019732	16.837416	0.039464	28.522316	0.197327	0					15.5049	"36"	0.019732	-0.250999
0.020312	16.837046	0.040625	28.522327	0.203131	0					15.754541	"37"	0.020312	-0.250758
0.020892	16.836599	0.041786	28.522308	0.208934	0					16.004784	"38"	0.020892	-0.250517
0.021473	16.83605	0.042946	28.522224	0.214738	0					16.254707	"39"	0.021473	-0.250276
0.022053	16.835758	0.044107	28.52215	0.220542	0					16.504896	"40"	0.022053	-0.250035
0.022633	16.835957	0.045268	28.5222	0.226345	0					16.755333	"41"	0.022633	-0.249793
0.023214	16.836946	0.046429	28.522259	0.232149	0					17.005077	"42"	0.023214	-0.249552
0.023794	16.837637	0.047589	28.522268	0.237953	0					17.255262	"43"	0.023794	-0.249278
0.024374	16.83744	0.04875	28.522247	0.243757	0					17.505116	"44"	0.024374	-0.249003
0.024955	16.837013	0.049911	28.52227	0.24956	0					17.755415	"45"	0.024955	-0.248729
0.025535	16.836285	0.051071	28.522352	0.255364	0					18.005636	"46"	0.025535	-0.248454
0.026115	16.836369	0.052232	28.522442	0.261168	0					18.255516	"47"	0.026115	-0.248179
0.026696	16.836691	0.053393	28.522524	0.266972	0					18.50584	"48"	0.026696	-0.247905
0.027276	16.836708	0.054554	28.522591	0.272775	0					18.756039	"49"	0.027276	-0.24763
0.027856	16.836086	0.055714	28.522589	0.278579	0					19.005985	"50"	0.027856	-0.247356
0.028437	16.835775	0.056875	28.52253	0.284383	0					19.255732	"51"	0.028437	-0.247081
0.029017	16.836639	0.058036	28.522732	0.290187	0					19.505947	"52"	0.029017	-0.246807
0.029597	16.838121	0.059196	28.522779	0.29599	0					19.755928	"53"	0.029597	-0.246588
0.030178	16.839308	0.060357	28.522694	0.301794	0					20.006235	"54"	0.030178	-0.24637
0.030758	16.839832	0.061518	28.5226	0.307598	0					20.25651	"55"	0.030758	-0.246152
0.031338	16.84086	0.062679	28.522907	0.313401	0					20.506517	"56"	0.031338	-0.245934
0.031919	16.841797	0.063839	28.523119	0.319205	0					20.756311	"57"	0.031919	-0.245715
0.032499	16.842014	0.065	28.523161	0.325009	0					21.001345	"Waste"	0.032499	-0.245497
0.03308	16.842157	0.066161	28.523357	0.330813	0					21.208422	"Waste"	0.03308	-0.245279
0.03366	16.842693	0.067321	28.523405	0.336616	0							0.03366	-0.24506
0.03424	16.843176	0.068482	28.523504	0.34242	0							0.03424	-0.244842
0.034821	16.84375	0.069643	28.52364	0.348224	0							0.034821	-0.244624
0.035401	16.844542	0.070804	28.52384	0.354028	0							0.035401	-0.24439
0.035981	16.845093	0.071964	28.524061	0.359831	0							0.035981	-0.244156
0.036562	16.845243	0.073125	28.524246	0.365635	0							0.036562	-0.243922
0.037142	16.844513	0.074286	28.524458	0.371439	0							0.037142	-0.243687
0.037722	16.844025	0.075447	28.524569	0.377242	0							0.037722	-0.243453
0.038303	16.844273	0.076607	28.524746	0.383046	0							0.038303	-0.243219
0.038883	16.84387	0.077768	28.525005	0.38885	0							0.038883	-0.242985
0.039463	16.843075	0.078929	28.525148	0.394654	0							0.039463	-0.242751
0.040044	16.842186	0.080089	28.525398	0.400457	0							0.040044	-0.242517
0.040624	16.841516	0.08125	28.525696	0.406261	0							0.040624	-0.242283
0.041204	16.841478	0.082411	28.52593	0.412065	0							0.041204	-0.242034
0.041785	16.841766	0.083572	28.526062	0.417869	0							0.041785	-0.241785
0.042365	16.842152	0.084732	28.526203	0.423672	0							0.042365	-0.241536
0.042945	16.842155	0.085893	28.526468	0.429476	0							0.042945	-0.241287
0.043526	16.841564	0.087054	28.526703	0.43528	0							0.043526	-0.241038
0.044106	16.841364	0.088214	28.527004	0.441083	0							0.044106	-0.240789
0.044686	16.841814	0.089375	28.527115	0.446887	0							0.044686	-0.24054
0.045267	16.842545	0.090536	28.5273	0.452691	0							0.045267	-0.240291
0.045847	16.842438	0.091697	28.527555	0.458495	0							0.045847	-0.240041
0.046427	16.843155	0.092857	28.527967	0.464298	0							0.046427	-0.239792
0.047008	16.842533	0.094018	28.528307	0.470102	0							0.047008	-0.239529
0.047588	16.842945	0.095179	28.528656	0.475906	0							0.047588	-0.239266
0.048168	16.842516	0.096339	28.528996	0.48171	0							0.048168	-0.239003
0.048749	16.843189	0.0975	28.529535	0.487513	0							0.048749	-0.23874
0.049329	16.844378	0.098661	28.52994	0.493317	0							0.049329	-0.238477
0.049909	16.844076	0.099822	28.530304	0.499121	0							0.049909	-0.238214
0.05049	16.844225	0.100982	28.530729	0.504925	0							0.05049	-0.23795
0.05107	16.845497	0.102143	28.531317	0.510728	0							0.05107	-0.237687
0.05165	16.846571	0.103304	28.531855	0.516532	0							0.05165	-0.237424
0.052231	16.846825	0.104464	28.532324	0.522336	0							0.052231	-0.237161
0.052811	16.847036	0.105625	28.532972	0.528139	0							0.052811	-0.236885
0.053392	16.847418	0.106786	28.53355	0.533943	0							0.053392	-0.236608
0.053972	16.848413	0.107947	28.534061	0.539747	0							0.053972	-0.236332
0.054552	16.849035	0.109107	28.534628	0.545551	0							0.054552	-0.236056
